movie_id,title,year,text
3359951,Amused,2011,"After a lazy morning full of errands, Martha returns home to find a horror feasting upon her daughter's scalp. A terrifying chase ensues through the frozen countryside. Alone and desperate, Martha must race through the vast isolation as terror lurks and waits for its chance to pounce."
3359952,Amusement,2008,"As retribution a psychopathic stalker known only as The Laugh attacks the now adult girls who picked on his sick childhood tendencies. Tabitha, Shelby and Lisa become the target of a madman with a serious adolescent grudge."
3361481,An Evening with My Comatose Mother,2011,"This is the story of Dorothy Pritchard and her night in the bowels of hell. Invited at the last minute to house sit for the wealthy Poe's, Dorothy Pritchard figured she'd have a Halloween night like no other: She'd get to collect a healthy paycheck, watch campy horror films, and suck face with her sexy boyfriend. Yet, not everything is as it initially seems as the Poe's soon introduce her to the woman she'll also be babysitting. That woman happens to be the Poe's rotting, comatose mother living in the upstairs bedroom. Mother is a macabre sight to behold as she is surrounded by the child like obsessions of her life, from dolls, harlequin clowns, music boxes, religious iconography, and more. All are given the most love and attention a comatose woman can give them, and suddenly Dorothy's night isn't quite turning out as she expected it to. As the Poe's leave for the party at the Governor's mansion, Dorothy's night takes a turn for the worse as her hot boyfriend dumps her coldly, possibly realizing they were never really dating in the first place. It also doesn't help that the campy horror flick she chose to watch is worse than she hoped. Left alone in the dark, gargantuan mansion, Dorothy finds solace in the Dicken's classic 'A Christmas Carol'... and soon finds that perhaps reading an old standby when a comatose woman is 'living' upstairs isn't necessarily the best idea in the world. As Halloween night grows deeper, and the approaching storm begins to rage, the nightmare begins as Dorothy is haunted by a personage that at first appears innocent, but turns into a horrifying monster of decay and blood. Building to a crescendo, Dorothy struggles to grapple with reality as the ghostly being descends upon her. Yet, this is just the first of Dorothy's troubles as the inanimate objects of Mother's room begin to take life, and the harlequin clown stalks her through the dark of the mansion. With seemingly nowhere to run, Dorothy must suck it up in order to pass the test of the very real, and very alive clown doll. But, Dorothy's night isn't finished as she must face off against the one who is seemingly behind the hellish freak show on display. The one who is the living dead herself, and must be defeated in order to free Dorothy from the nightmare that has ensued. However, Dorothy Pritchard will wish she never went up against the decaying flesh in the upstairs bedroom, as the comatose mother will prove that even when she's almost dead, there's still life those old bones yet."
3361648,An Eye for an Eye,2010,"Jenni, (Vivian Uribe) a regular girl finds herself in a variety of situations. Her boyfriend, Harry (Matthew Armstrong), breaks up with her. Her co-worker in hospital lab, Jim (Ryan Hutchins), is bitten by a zombie and dies. She meets Erik (Cameron Osburn) and he sends her to the place she needs to be the most. Her parents' (Ryan Hutchins and Matthew Armstrong). Bob (Matthew Armstrong) is bitten by a zombie and Janett (Ryan Hutchins) and Jenni try to get him before he turns into a zombie himself. They run into Mackenzie (Jessica Armstrong) and Harry, who is bitten by Brendi (Ryan Hutchins), thus saving Mackenzie's life. The four go to Erik's house and they meet Kraig (Connor Bailey) who is Erik's brother. Erik gets his friend, Amanda (Ryan Hutchins), to come to take a look at Bob. It turns out that Amanda and Jenni previously knew each other. Bob becomes a zombie and takes Mackenzie and Erik with him into being a zombie. Amanda, Kraig, and Jenni then escape to a field and fight zombies. Amanda injects zombie blood into Kraig and Jenni. Jenni then wakes up in a bed and Kraig's whereabouts are unknown. She walks outside and walks down the street and the screen goes to black."
3365468,And Soon the Darkness,2010,"When two American girls on a bike trip in a remote part of Argentina split up and one of them goes missing, the other must find her before her worst fears are realized."
3366092,Andre,2010,"After a workplace affair, Andre has fallen in love with his boss, Lynne. When Lynne recommits herself to her husband Andre is left emotionally damaged. His attempts to win Lynne back fail and he is further hurt and alienated when she has him fired. He goes into work emotionally distraught and determined to exact his revenge on Lynne."
3367557,Angel of Shavano,2011,"High in the Rocky Mountains, a young man takes a relic from a Colorado gold mine, awakening the spirit of a Native American princess. Haunted by nightmares and the murder of his mother, young Micah struggles to survive while being hunted by an unrelenting ghost, the Angel of Shavano, who seeks the return of her stolen treasure. 22 years later, Micah has found temporary refuge at a church in Montana, but he is soon forced to return to Colorado, where he must confront his past, his conscience, and an angry ghost who will stop at nothing to protect the treasure of her people for eternity."
3367660,Angel's Blade,2008,"A young girl is possessed by Mayan spirits. When she dies, the spirits live on, haunting a lonely stretch of road. A man finds that the spirits are responsible for the death of his wife. Unfortunately, the spirits have followed him home - and are now after his young son's soul."
3368077,Angels Die Slowly,2010,"A Goth couple who also happen to be serial killers seduce and kill a young executive. Before dying, he alerts a friend, a Bourbon street bouncer, who searches the famous French Quarter of New Orleans for the killers before they strike again."
3368914,Animal,2009,Santiago loves to hike alone and often brags to his friends about his findings. On his last trip Santiago discovered an abandoned house his friends are dying to see first hand. Santiago agrees and his friends trust that he will guide them in their journey. Once in the hills the friends find more than a mysterious house they wish they never had gone to look for.
